T_review,strategy,hiring_mode,seed,cum_pi,mean_K_active,n_hired_total,n_review_fired_total,dial,alpha_mean,q_a,c_auto,p
10.0,horizon_optimizer,enable_hiring,0,5879.268752327045,81.33333333333333,0,23,c_auto,,,0.3,
10.0,horizon_optimizer,enable_hiring,1,5788.091888468036,86.5,0,17,c_auto,,,0.3,
10.0,horizon_optimizer,enable_hiring,2,6235.618738933614,91.16666666666667,0,13,c_auto,,,0.3,
10.0,horizon_optimizer,enable_hiring,3,5641.523498537821,84.66666666666667,0,19,c_auto,,,0.3,
10.0,horizon_optimizer,enable_hiring,4,6040.596842871724,83.5,0,20,c_auto,,,0.3,
10.0,all_H,enable_hiring,0,4373.206719785868,90.83333333333333,0,11,c_auto,,,0.5,
10.0,all_H,enable_hiring,1,4366.345122159769,92.5,0,9,c_auto,,,0.5,
10.0,all_H,enable_hiring,2,5179.324418222168,97.5,0,3,c_auto,,,0.5,
10.0,all_H,enable_hiring,3,4053.479825566881,90.16666666666667,0,12,c_auto,,,0.5,
10.0,all_H,enable_hiring,4,4347.528248143752,91.0,0,11,c_auto,,,0.5,
10.0,greedy_with_switching,enable_hiring,0,4759.268752327045,81.33333333333333,0,23,c_auto,,,0.5,
10.0,greedy_with_switching,enable_hiring,1,4978.091888468036,86.5,0,17,c_auto,,,0.5,
10.0,greedy_with_switching,enable_hiring,2,5705.618738933614,91.16666666666667,0,13,c_auto,,,0.5,
10.0,greedy_with_switching,enable_hiring,3,4721.523498537821,84.66666666666667,0,19,c_auto,,,0.5,
10.0,greedy_with_switching,enable_hiring,4,5050.596842871724,83.5,0,20,c_auto,,,0.5,
10.0,horizon_optimizer,enable_hiring,0,4759.268752327045,81.33333333333333,0,23,c_auto,,,0.5,
10.0,horizon_optimizer,enable_hiring,1,4978.091888468036,86.5,0,17,c_auto,,,0.5,
10.0,horizon_optimizer,enable_hiring,2,5705.618738933614,91.16666666666667,0,13,c_auto,,,0.5,
10.0,horizon_optimizer,enable_hiring,3,4721.523498537821,84.66666666666667,0,19,c_auto,,,0.5,
10.0,horizon_optimizer,enable_hiring,4,5050.596842871724,83.5,0,20,c_auto,,,0.5,
10.0,all_H,enable_hiring,0,5473.206719785867,90.83333333333333,0,11,p,,,,0.56
10.0,all_H,enable_hiring,1,5266.345122159769,92.5,0,9,p,,,,0.56
